排名,BRAND,MODEL,Detail,總分,Price_分數,CL_分數,Performance_分數,Stability_分數,Capacity_分數,Speed_分數
,,,D5-6400/CL32黑(F5-6400J3239G32GX2-TZ5RK)XMP,,,,,,,
,,,D5-6400/CL32白(F5-6400J3239G32GX2-TZ5RW)XMP,,,,,,,
,,,D5-6000/CL34黑(F5-6000J3444F64GX2-TZ5RK)XMP,,,,,,,
,,,D5-6000/CL30黑(F5-6000J3038F16GX2-TZ5NR)EXPO,,,,,,,
,,,D5-6000/CL30黑(F5-6000J3040G32GX2-TZ5NR)雙參數,,,,,,,
,,,D5-6000/CL30白(F5-6000J3040G32GX2-TZ5NRW)雙參數,,,,,,,
,,,D5-6400/CL30黑(F5-6400J3039G16GX2-TZ5NR)EXPO,,,,,,,
,,,D5-6400/CL30白(F5-6400J3039G16GX2-TZ5NRW)EXPO,,,,,,,
,,,D5-7200/CL34黑(F5-7200J3445G16GX2-TZ5NR)EXPO,,,,,,,
,,,D5-7200/CL34白(F5-7200J3445G16GX2-TZ5NRW)EXPO,,,,,,,
,,,D5-8000/CL40黑(F5-8000J4048G24GX2-TZ5NR)EXPO限量,,,,,,,
,,,)D5-6000/CL34黑(F5-6000J3444F64GX2-TZ5NR)[雙參數],,,,,,,
,,,D5-6000/CL28銀(F5-6000J2836G16GX2-TR5NS)EXPO,,,,,,,
,,,D5-6000/CL28金(F5-6000J2836G16GX2-TR5NG)EXPO,,,,,,,
,,,D5-6000/CL28銀(F5-6000J2836G32GX2-TR5NS)雙參數,,,,,,,
,,,D5-6000/CL30銀(F5-6000J3036F48GX2-TR5NS)EXPO,,,,,,,
,,,D5-6400/CL30銀(F5-6400J3039G16GX2-TR5NS)EXPO,,,,,,,
,,,D5-6400/CL30金(F5-6400J3039G16GX2-TR5NG)EXPO,,,,,,,
,,,D5-8000/CL38銀(F5-8000J3848H16GX2-TR5NS)EXPO~限量~,,,,,,,
,,,D5-8000/CL40銀(F5-8000J4048G24GX2-TR5NS)EXPO,,,,,,,
,,,D5-6000/CL28金(F5-6000J2836G32GX2-TR5NG)EXPO,,,,,,,
,,,D5-6000/CL28銀(F5-6000J2836G16GX2-TR5S)XMP,,,,,,,
,,,D5-6400/CL32銀(F5-6400J3239G16GX2-TR5S)XMP,,,,,,,
,,,D5-7200/CL34銀(F5-7200J3445G16GX2-TR5S)XMP,,,,,,,
,,,D5-7200/CL34金(F5-7200J3445G16GX2-TR5G)XMP,,,,,,,
,,,D5-6000/CL28銀(F5-6000J2836G32GX2-TR5S)XMP,,,,,,,
,,,D5-6400/CL32銀(F5-6400J3239G32GX2-TR5S)XMP,,,,,,,
,,,D5-8000/CL40銀(F5-8000J4048F24GX2-TR5S)XMP,,,,,,,
,,,D5-8000/CL40金(F5-8000J4048F24GX2-TR5G)XMP,,,,,,,
,,,DDR5 4800/CL40,,,,,,,
,,,DDR5 4800/CL40,,,,,,,
,,,DDR5 4800/CL40,,,,,,,
,,,DDR5 5600/CL46,,,,,,,
,,,DDR5 5600/CL46,,,,,,,
,,,DDR5 5600/CL46,,,,,,,
,,,D5-4800/CL40 (AD5S48008G-S),,,,,,,
,,,D5-4800/CL40 (AD5S480016G-S),,,,,,,
,,,D5-4800/CL40 (AD5S480032G-S),,,,,,,
,,,D5-5600/CL46 (AD5S56008G-S),,,,,,,
,,,D5-5600/CL46 (AD5S560016G-S),,,,,,,
,,,D5-5600/CL46 (AD5S560032G-S),,,,,,,
,,,DDR5 5600(KVR56S46BD8-32)/CL46,,,,,,,
,,,DDR5 5600/CL46,,,,,,,
,,,DDR5 5600/CL46,,,,,,,
,,,DDR5 5600/CL46,,,,,,,
,,,DDR5 5600/CL46,,,,,,,
,,,DDR4-2400(1024*8),,,,,,,
,,,DDR4-2666原生顆粒製(1024*8),,,,,,,
,,,DDR4-3200(1024*8)超頻,,,,,,,
,,,DDR4-2400(1024*8),,,,,,,
,,,DDR4-2666原生顆粒製(1024*8),,,,,,,
,,,DDR4-2666原生顆粒製(2048*8),,,,,,,
,,,DDR4-3200(1024*8)超頻CL16,,,,,,,
,,,DDR4-3200原生顆粒製(2048*8)超頻CL16,,,,,,,
,,,D4-3200(AD4U320038G22-SGN)(1024*8),,,,,,,
,,,D4-3200/CL16 XPG D10超頻 黑(AX4U320038G16A-SB10)(1024*8),,,,,,,
,,,D4-3200(AD4U3200316G22-SGN)(1024*8),,,,,,,
,,,D4-3200/CL16 XPG D10超頻 黑(AX4U3200316G16A-SB10)(1024*8),,,,,,,
,,,D4-3200(AD4U3200732G22-SGN)(2048*8),,,,,,,
,,,DDR4-3200(2048*8),,,,,,,
,,,DDR4-3200(2048*8),,,,,,,
,,,DDR4-3200(KVR32N22S8/16)(2048*8),,,,,,,
,,,DDR4-3200 FURY Beast(獸獵者)(KF432C16BB/16)(2048*8),,,,,,,
,,,DDR4-3200(KVR32N22D8/32)(2048*8),,,,,,,
,,,DDR4-3200 FURY Beast(獸獵者)(KF432C16BB/32)(2048*8),,,,,,,
,,,DDR4-3200(1024*8),,,,,,,
,,,DDR4-2666原生顆粒製-含散熱片(1024*8),,,,,,,
,,,DDR4-3200超頻CL16含散熱片(1024*8),,,,,,,
,,,DDR4-2666原生顆粒製-含散熱片(2048*8),,,,,,,
,,,DDR4-3200原生顆粒-超頻CL16含散熱片(1024*8),,,,,,,
,,,DDR4-3200原生顆粒-超頻CL16含散熱片(2048*8),,,,,,,
,,,DDR4-3200原生顆粒-超頻CL16含散熱片(2048*8) 少量,,,,,,,
,,,D4-3200/CL16 D10超頻 黑(AX4U320038G16A-DB10)(1024*8),,,,,,,
,,,D4-3200/CL16 D10超頻 黑(AX4U3200316G16A-DB10)(1024*8),,,,,,,
,,,D4-3600/CL18 D10超頻 黑(AX4U3600316G18I-DB10)(1024*8),,,,,,,
,,,D4-3200/CL16 D50 RGB 灰(AX4U320038G16A-DT50)(1024*8),,,,,,,
,,,D4-3200/CL16 D50 RGB 白(AX4U320038G16A-DW50)(1024*8),,,,,,,
,,,D4-3200/CL16 D50 RGB 灰(AX4U3200716G16A-DT50)(2048*8),,,,,,,
,,,D4-3200/CL16 D50 RGB 白(AX4U3200716G16ADW50)(2048*8),,,,,,,
,,,D4-3600/CL18 D50 RGB 灰(AX4U3600716G18I-DT50)(2048*8),,,,,,,
,,,D4-3600/CL18 D50 RGB 白(AX4U3600716G18I-DW50)(2048*8),,,,,,,
,,,DDR4-3200 FURY Beast RGB(獸獵)(KF432C16BB2AK2/16),,,,,,,
,,,DDR4-3200 (獸獵者)(KF432C16BBK2/32)(2048*8),,,,,,,
,,,DDR4-3200 RGB(獸獵者)(KF432C16BB2AK2/32)(2048*8),,,,,,,
,,,DDR4-3600 (獸獵者)(KF436C18BBK2/32)(2048*8),,,,,,,
,,,DDR4-3200 (獸獵者)(KF432C16BBK2/64)(2048*8),,,,,,,
,,,DDR4-3200/CL16,,,,,,,
,,,DDR4-3200(黑色)/CL16,,,,,,,
,,,DDR4-3600(黑色)/CL18,,,,,,,
,,,D4-3600 CL18 黑 F4-3600C18D-32GVK,,,,,,,
,,,D4-4000 CL18 黑 F4-4000C18D-32GVK,,,,,,,
,,,D4-3200 CL16 黑銀 F4-3200C16D-16GTZR,,,,,,,
,,,D4-3200 CL16 黑銀 F4-3200C16D-32GTZR,,,,,,,
,,,D4-3600 CL16 黑銀 F4-3600C16D-32GTZRC,,,,,,,
,,,D4-4000 CL18 黑銀 F4-4000C18D-32GTZR,,,,,,,
,,,D4-3200 CL16 銀 F4-3200C16D-32GTRS,,,,,,,
,,,D4-3200 F4-3200C16D-32GTZN[For AMD],,,,,,,
,,,D4-3600 F4-3600C16D-32GTZNC[For AMD],,,,,,,
,,,D4-4000 F4-4000C18D-32GTZN[FOR R5000],,,,,,,
,,,DDR4-2666(1024*8),,,,,,,
,,,DDR4-3200(1024*8),,,,,,,
,,,DDR4-2400(1024*8),,,,,,,
,,,DDR4-2666(1024*8),,,,,,,
,,,DDR4-2666(2048*8),,,,,,,
,,,DDR4-3200(1024*8),,,,,,,
,,,DDR4-3200(2048*8),,,,,,,
,,,DDR4-3200(2048*8),,,,,,,
,,,D4-3200(AD4S320038G22-SGN)(1024*8),,,,,,,
,,,D4-3200(AD4S3200316G22-SGN)(1024*8),,,,,,,
,,,DDR4-3200(KVR32S22S8/16)(2048*8),,,,,,,
,,,D4-3200(KVR32S22D8/32)(2048*8),,,,,,,
,,,DDR3-1600含散熱片(512*8),,,,,,,
,,,DDR3L-1600 低電壓(512*8),,,,,,,
,,,DDR3L-1600 低電壓(KVR16LS11/4)(512*8),,,,,,,
,,,DDR3L-1600 低電壓(KVR16LS11/8)(512*8),,,,,,,
,,,5600MT/s D5 ECC CL46 DIMM 1Rx8 Hynix A(KSM56E46BS8KM/16HA),,,,,,,
,,,5600MT/s D5 ECC CL46 DIMM 2Rx8 Hynix A(KSM56E46BD8KM/32HA),,,,,,,
,,,5600MT/s D5 ECC CL46 DIMM 2Rx8 Hynix M(KSM56E46BD8KM/48HM),,,,,,,
,,,D5-6000 C30 ECC(F5-6000R3036G16GQ8-G5)XMP,,,,,,,
,,,D5-6000 C30 ECC(F5-6000R3036G32GQ4-G5)XMP,,,,,,,
,,,D5-6000 C30 ECC(F5-6000R3036G48GQ4-G5)XMP,,,,,,,
,,,D5-6400 C32 ECC(F5-6400R3239G16GQ4-G5)XMP,,,,,,,
,,,D5-6400 C32 ECC(F5-6400R3239G32GQ4-G5)XMP,,,,,,,
,,,D5-6400 C32 ECC(F5-6400R3239G48GQ4-G5)XMP,,,,,,,
,,,D5-6000 C30 ECC(F5-6000R3036G16GQ4-G5N)EXPO,,,,,,,
,,,D5-6000 C30 ECC(F5-6000R3036G32GQ4-G5N)EXPO,,,,,,,
,,,D5-6000 C30 ECC(F5-6000R3036G48GQ4-G5N)EXPO,,,,,,,
,,,D5-6400 C32 ECC(F5-6400R3239G16GQ4-G5N)EXPO,,,,,,,
,,,D5-6400 C32 ECC(F5-6400R3239G32GQ4-G5N)EXPO,,,,,,,
,,,D5-6400 C32 ECC(F5-6400R3239G48GQ4-G5N)EXPO,,,,,,,
,,,5600MT/s D5 ECC Reg CL46 DIMM 2R*8 Hynix A Rambus (KSM56R46BD8/32HA),,,,,,,
,,,5600MT/s D5 ECC Reg CL46 DIMM 2R*4 Hynix A Rambus (KSM56R46BD4/64HA),,,,,,,
,,,3200MHz D4 ECC Reg CL22 DIMM 2R*8 Hynix C Rambus (KSM32RD8/32HCR),,,,,,,
,,,3200MHz D4 ECC Reg CL22 DIMM 2R*4 Hynix C Rambus (KSM32RD4/64HCR),,,,,,,
,,,DDR5-4800/CL40 支援 XMP,,,,,,,
,,,DDR5-4800/CL40 支援 XMP,,,,,,,
,,,DDR5-5600/CL46【雙參數】,,,,,,,
,,,DDR5-5600/CL46【雙參數】,,,,,,,
,,,DDR5-6000/CL30【雙參數】,,,,,,,
,,,DDR5-5600/CL46【雙參數】,,,,,,,
,,,DDR5-6000/CL30【雙參數】,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
